name,style,ounces,brewery_name,city,state
Oberon,Wheat Ale,16.0,Bell's Brewery,Kalamazoo,MI
Two Hearted,India Pale Ale,16.0,Bell's Brewery,Kalamazoo,MI
Best Brown,Brown Ale,16.0,Bell's Brewery,Kalamazoo,MI
Moar,India Pale Ale,12.0,Bent Brewstillery,Roseville,MN
Uber Lupin Schwarz IPA,Double / Imperial IPA,16.0,Bent Brewstillery,Roseville,MN
Nordic Blonde,Blonde Ale,12.0,Bent Brewstillery,Roseville,MN
Cold Press,Others,12.0,Bent Paddle Brewing Company,Duluth,MN
Harness the Winter,India Pale Ale,12.0,Bent Paddle Brewing Company,Duluth,MN
14° ESB ,British-Style Bitter,12.0,Bent Paddle Brewing Company,Duluth,MN
Bent Hop Golden IPA,India Pale Ale,12.0,Bent Paddle Brewing Company,Duluth,MN
Bent Paddle Black Ale,Others,12.0,Bent Paddle Brewing Company,Duluth,MN
Venture Pils,Pilsner,12.0,Bent Paddle Brewing Company,Duluth,MN
Lost Sailor IPA,India Pale Ale,12.0,Berkshire Brewing Company,South Deerfield,MA
Steel Rail Extra Pale Ale,Pale Ale,12.0,Berkshire Brewing Company,South Deerfield,MA
La Frontera Premium IPA,India Pale Ale,12.0,Big Bend Brewing Company,Alpine,TX
Tejas Lager,Pilsner,12.0,Big Bend Brewing Company,Alpine,TX
Number 22 Porter,Porter,12.0,Big Bend Brewing Company,Alpine,TX
Big Bend Hefeweizen,Hefeweizen,12.0,Big Bend Brewing Company,Alpine,TX
Terlingua Gold,Blonde Ale,12.0,Big Bend Brewing Company,Alpine,TX
Aprè Shred,Strong Ale,16.0,Big Choice Brewing,Broomfield,CO
Hemlock Double IPA,Double / Imperial IPA,12.0,Big Choice Brewing,Broomfield,CO
West Portal Colorado Common Summer Ale,Others,16.0,Big Choice Brewing,Broomfield,CO
Disconnected Red,Amber / Red Ale,16.0,Big Choice Brewing,Broomfield,CO
Big Elm IPA,India Pale Ale,12.0,Big Elm Brewing,Sheffield,MA
Gerry Dog Stout,Others,12.0,Big Elm Brewing,Sheffield,MA
413 Farmhouse Ale,Others,12.0,Big Elm Brewing,Sheffield,MA
Dark Star,Others,16.0,Big Lake Brewing,Holland,MI
Ryecoe,India Pale Ale,16.0,Big Lake Brewing,Holland,MI
Blueberry Blonde,Others,12.0,Big Muddy Brewing,Murphysboro,IL
Galaxy IPA,India Pale Ale,16.0,Big Muddy Brewing,Murphysboro,IL
Big River Pilsner,Pilsner,12.0,Big River Brewing Company,Chattanooga,TN
House Brand IPA,India Pale Ale,12.0,Big River Brewing Company,Chattanooga,TN
Big Sky IPA,India Pale Ale,12.0,Big Sky Brewing Company,Missoula,MT
Scape Goat Pale Ale,Pale Ale,12.0,Big Sky Brewing Company,Missoula,MT
Montana Trout Slayer Ale,Wheat Ale,12.0,Big Sky Brewing Company,Missoula,MT
Moose Drool Brown Ale,Brown Ale,12.0,Big Sky Brewing Company,Missoula,MT
Powder Hound Winter Ale,Strong Ale,12.0,Big Sky Brewing Company,Missoula,MT
Moose Drool Brown Ale (2011),Brown Ale,12.0,Big Sky Brewing Company,Missoula,MT
Montana Trout Slayer Ale (2012),Wheat Ale,12.0,Big Sky Brewing Company,Missoula,MT
Big Sky IPA (2012),India Pale Ale,12.0,Big Sky Brewing Company,Missoula,MT
Summer Honey,Blonde Ale,12.0,Big Sky Brewing Company,Missoula,MT
Scape Goat Pale Ale (2010),Pale Ale,12.0,Big Sky Brewing Company,Missoula,MT
Montana Trout Slayer Ale (2009),Wheat Ale,12.0,Big Sky Brewing Company,Missoula,MT
Moose Drool Brown Ale (2009),Brown Ale,12.0,Big Sky Brewing Company,Missoula,MT
Arcus IPA,India Pale Ale,12.0,Big Storm Brewing Company,Odessa,FL
Wavemaker,Amber / Red Ale,12.0,Big Storm Brewing Company,Odessa,FL
Jack Pine Savage,Pale Ale,16.0,Big Wood Brewery,Vadnais Heights,MN
Forest Fire Imperial Smoked Rye,Others,16.0,Big Wood Brewery,Vadnais Heights,MN
Bad Axe Imperial IPA,Double / Imperial IPA,16.0,Big Wood Brewery,Vadnais Heights,MN
Morning Wood,Oatmeal Stout,16.0,Big Wood Brewery,Vadnais Heights,MN
Bark Bite IPA,India Pale Ale,16.0,Big Wood Brewery,Vadnais Heights,MN
Jalapeno Pale Ale,Pale Ale,16.0,Birdsong Brewing Company,Charlotte,NC
Blown Out Brown,Brown Ale,12.0,Bitter Root Brewing,Hamilton,MT
Single Hop Ale,Pale Ale,12.0,Bitter Root Brewing,Hamilton,MT
Sawtooth Ale,Blonde Ale,12.0,Bitter Root Brewing,Hamilton,MT
Saucy Intruder,Others,16.0,Black Acre Brewing Co.,Indianapolis,IN
Deception,Blonde Ale,12.0,Black Market Brewing Company,Temecula,CA
Blackmarket Rye IPA,India Pale Ale,12.0,Black Market Brewing Company,Temecula,CA
Black Market Hefeweizen,Hefeweizen,12.0,Black Market Brewing Company,Temecula,CA
Aftermath Pale Ale,Pale Ale,12.0,Black Market Brewing Company,Temecula,CA
American India Red Ale,Strong Ale,12.0,Black Shirt Brewing Company,Denver,CO
American Red Porter,Porter,12.0,Black Shirt Brewing Company,Denver,CO
American Red Saison,Others,12.0,Black Shirt Brewing Company,Denver,CO
Colorado Red Ale,Amber / Red Ale,12.0,Black Shirt Brewing Company,Denver,CO
Saddle Bronc Brown Ale,Brown Ale,12.0,Black Tooth Brewing Company,Sheridan,WY
Bomber Mountain Amber Ale,Amber / Red Ale,12.0,Black Tooth Brewing Company,Sheridan,WY
Flying Sailor,Others,12.0,Blackrocks Brewery,Marquette,MA
Nordskye ,India Pale Ale,12.0,Blackrocks Brewery,Marquette,MI
North Third Stout,Others,12.0,Blackrocks Brewery,Marquette,MI
Honey Lav,Wheat Ale,12.0,Blackrocks Brewery,Marquette,MI
Coconut Brown Ale,Brown Ale,12.0,Blackrocks Brewery,Marquette,MI
51K IPA,India Pale Ale,12.0,Blackrocks Brewery,Marquette,MI
Grand Rabbits,Cream Ale,12.0,Blackrocks Brewery,Marquette,MI
1800 Big Log Wheat (2012),Wheat Ale,12.0,Blue Blood Brewing Company,Lincoln,NE
Double Play Pilsner,Pilsner,12.0,Blue Blood Brewing Company,Lincoln,NE
Brewerhood Brown Ale,Brown Ale,12.0,Blue Blood Brewing Company,Lincoln,NE
Last Call Imperial Amber Ale,Amber / Red Ale,12.0,Blue Blood Brewing Company,Lincoln,NE
Pernicious Double IPA,Double / Imperial IPA,12.0,Blue Blood Brewing Company,Lincoln,NE
6-4-3 Double Play Pilsner,Pilsner,12.0,Blue Blood Brewing Company,Lincoln,NE
N Street Drive-In 50th Anniversary IPA,Double / Imperial IPA,12.0,Blue Blood Brewing Company,Lincoln,NE
467 Ethan's Stout,Others,12.0,Blue Blood Brewing Company,Lincoln,NE
1335 Wicked Snout,Others,12.0,Blue Blood Brewing Company,Lincoln,NE
543 Skull Creek Fresh Hopped Pale Ale,Pale Ale,12.0,Blue Blood Brewing Company,Lincoln,NE
1327 Pod's ESB,British-Style Bitter,12.0,Blue Blood Brewing Company,Lincoln,NE
1327 Pod's ESB,British-Style Bitter,12.0,Blue Blood Brewing Company,Lincoln,NE
1327 Pod's ESB,British-Style Bitter,12.0,Blue Blood Brewing Company,Lincoln,NE
834 Happy As Ale,Pale Ale,12.0,Blue Blood Brewing Company,Lincoln,NE
Yellow Collar,Others,12.0,Blue Dog Mead,Eugene,OR
Green Collar,Others,12.0,Blue Dog Mead,Eugene,OR
Quarter Mile Double IPA,Double / Imperial IPA,12.0,Blue Hills Brewery,Canton,MA
Full Nelson Pale Ale,Pale Ale,12.0,Blue Mountain Brewery,Afton,VA
Steel Wheels ESB,British-Style Bitter,12.0,Blue Mountain Brewery,Afton,VA
Blue Mountain Classic Lager,Others,12.0,Blue Mountain Brewery,Afton,VA
Full Nelson Pale Ale (2010),Pale Ale,12.0,Blue Mountain Brewery,Afton,VA
Kölsch 151,Others,12.0,Blue Mountain Brewery,Arrington,VA
Professor Black,Others,12.0,Blue Owl Brewing,Austin,TX
Little Boss,Wheat Ale,12.0,Blue Owl Brewing,Austin,TX
Van Dayum!,Amber / Red Ale,12.0,Blue Owl Brewing,Austin,TX
Spirit Animal,Pale Ale,12.0,Blue Owl Brewing,Austin,TX
Toxic Sludge,Others,16.0,Blue Point Brewing Company,Patchogue,NY
Blue Point White IPA,Others,12.0,Blue Point Brewing Company,Patchogue,NY
Blue Point Summer Ale,Blonde Ale,12.0,Blue Point Brewing Company,Patchogue,NY
Toasted Lager,Vienna,12.0,Blue Point Brewing Company,Patchogue,NY
Bohemian Export Lager,Others,12.0,Bohemian Brewery,Midvale,UT
Altus Bohemes Altbier,Altbier,12.0,Bohemian Brewery,Midvale,UT
Cherny Bock,Schwarzbier,12.0,Bohemian Brewery,Midvale,UT
Czech Pilsner,Pilsner,12.0,Bohemian Brewery,Midvale,UT
Viennese Lager,Vienna,12.0,Bohemian Brewery,Midvale,UT
Mad Manatee IPA,India Pale Ale,12.0,Bold City Brewery,Jacksonville,FL
Killer Whale Cream Ale,Cream Ale,12.0,Bold City Brewery,Jacksonville,FL
Duke's Cold Nose Brown Ale,Brown Ale,12.0,Bold City Brewery,Jacksonville,FL
Longhop IPA,India Pale Ale,16.0,Bolero Snort Brewery,Ridgefield Park,NJ
Lucky Buck,Dry Stout,16.0,Bolero Snort Brewery,Ridgefield Park,NJ
Bomb Lager (New Recipe),Others,12.0,Bomb Beer Company,New York,NY
Bomb Lager (Old Recipe),Others,12.0,Bomb Beer Company,New York,NY
Firestarter India Pale Ale,India Pale Ale,12.0,Bonfire Brewing Company,Eagle,CO
Kilt Dropper Scotch Ale,Scotch Ale / Wee Heavy,16.0,Bonfire Brewing Company,Eagle,CO
Wood Splitter Pilsner,Pilsner,16.0,Bonfire Brewing Company,Eagle,CO
Gyptoberfest,Others,12.0,Bonfire Brewing Company,Eagle,CO
Farmer Wirtz India Pale Ale,India Pale Ale,16.0,Bonfire Brewing Company,Eagle,CO
